"boot.i" "n.tree" "max.tree" "model.auc"
8 450 1e+07 0.744897959183673
5 1150 1e+07 0.6875
11 1450 1e+07 0.734375
10 2150 1e+07 0.839506172839506
22 2550 1e+07 0.693877551020408
3 4550 1e+07 0.92
7 5700 1e+07 0.697530864197531
25 5150 1e+07 0.814814814814815
19 5500 1e+07 0.959183673469388
9 8150 1e+07 0.71875
12 8400 1e+07 0.91358024691358
6 8800 1e+07 0.714285714285714
23 4750 1e+07 0.90625
21 7600 1e+07 0.8125
4 14300 1e+07 0.679012345679012
24 13400 1e+07 0.683673469387755
14 19850 1e+07 0.652777777777778
18 12900 1e+07 0.959183673469388
13 25650 1e+07 0.7
1 28850 1e+07 0.777777777777778
20 27650 1e+07 0.753086419753087
17 31450 1e+07 0.722222222222222
15 8050 1e+07 0.776859504132231
2 47400 1e+07 0.703125
16 4200 1e+07 0.888888888888889
