"Longitude","Latitude","Country","Village","Species","NumPosAg","NumTestAg","PropAg","NumPosAb","NumTestAb","PropAb","Source","DiagnosticMethod","Target","Human_Random_Survey","TotTest","TotPos","ArenaStat"
-10.7,9.97,"Guinea","Tindo","Homo sapiens",NA,NA,NA,20,61,0.327868852459016,"Lukashevich_Clegg_1993","ELISA","IgG",TRUE,61,20,1
-10.03,8.56,"Guinea","Bawa","Homo sapiens",NA,NA,NA,28,51,0.549019607843137,"Lukashevich_Clegg_1993","ELISA","IgG",TRUE,51,28,1
-10.6,8.5,"Guinea","Fangamandou","Homo sapiens",NA,NA,NA,32,112,0.285714285714286,"Lukashevich_Clegg_1993","ELISA","IgG",TRUE,112,32,1
-10.37,8.7,"Guinea","Nongoa Mbalia","Homo sapiens",NA,NA,NA,47,116,0.405172413793103,"Lukashevich_Clegg_1993","ELISA","IgG",TRUE,116,47,1
-10.44,8.48,"Guinea","Owet Djiba","Homo sapiens",NA,NA,NA,31,83,0.373493975903614,"Lukashevich_Clegg_1993","ELISA","IgG",TRUE,83,31,1
-10.3,8.75,"Guinea","Sassani Toli","Homo sapiens",NA,NA,NA,33,97,0.34020618556701,"Lukashevich_Clegg_1993","ELISA","IgG",TRUE,97,33,1
-10.43,8.47,"Guinea","Telekolo","Homo sapiens",NA,NA,NA,24,80,0.3,"Lukashevich_Clegg_1993","ELISA","IgG",TRUE,80,24,1
-12.45,9.88,"Guinea","Madina Oula camp","Homo sapiens",NA,NA,NA,59,171,0.345029239766082,"Lukashevich_Clegg_1993","ELISA","IgG",TRUE,171,59,1
-8.55,7.62,"Guinea","Gbah","Homo sapiens",NA,NA,NA,28,109,0.256880733944954,"Lukashevich_Clegg_1993","ELISA","IgG",TRUE,109,28,1
-8.52,7.71,"Guinea","Gbenemou","Homo sapiens",NA,NA,NA,11,59,0.186440677966102,"Lukashevich_Clegg_1993","ELISA","IgG",TRUE,59,11,1
-8.5,7.58,"Guinea","Thuo","Homo sapiens",NA,NA,NA,63,190,0.331578947368421,"Lukashevich_Clegg_1993","ELISA","IgG",TRUE,190,63,1
-9.32,11.57,"Guinea","Balato","Homo sapiens",NA,NA,NA,27,150,0.18,"Lukashevich_Clegg_1993","ELISA","IgG",TRUE,150,27,1
-9.27,7.72,"Guinea","Bamakama","Homo sapiens",NA,NA,NA,42,138,0.304347826086957,"Lukashevich_Clegg_1993","ELISA","IgG",TRUE,138,42,1
-9.26,7.66,"Guinea","Komore","Homo sapiens",NA,NA,NA,46,183,0.251366120218579,"Lukashevich_Clegg_1993","ELISA","IgG",TRUE,183,46,1
-9.26,7.56,"Guinea","Waita","Homo sapiens",NA,NA,NA,31,120,0.258333333333333,"Lukashevich_Clegg_1993","ELISA","IgG",TRUE,120,31,1
-12.1680221,11.06625311,"Guinea","Bantignel","Homo sapiens",NA,NA,NA,10,165,0.0606060606060606,"Lukashevich_Clegg_1993","ELISA","IgG",TRUE,165,10,1
-12.1680221,11.41256047,"Guinea","Sala","Homo sapiens",NA,NA,NA,8,111,0.0720720720720721,"Lukashevich_Clegg_1993","ELISA","IgG",TRUE,111,8,1
-12.2434451,11.95781037,"Guinea","Mali","Homo sapiens",NA,NA,NA,8,147,0.054421768707483,"Lukashevich_Clegg_1993","ELISA","IgG",TRUE,147,8,1
-12.10631238,11.95781037,"Guinea","Deppal","Homo sapiens",NA,NA,NA,1,29,0.0344827586206897,"Lukashevich_Clegg_1993","ELISA","IgG",TRUE,29,1,1
-9.3833333,11.6,"Guinea","Kintinian","Homo sapiens",NA,NA,NA,13,168,0.0773809523809524,"Lukashevich_Clegg_1993","ELISA","IgG",TRUE,168,13,1
-9.685919854,11.40519223,"Guinea","Torekoro","Homo sapiens",NA,NA,NA,5,100,0.05,"Lukashevich_Clegg_1993","ELISA","IgG",TRUE,100,5,1
