"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13"
"1" 0.958041891526538 0.000537748946851049 1.10422194763372e-05 1.01030324909667e-07 2.72287179794499e-06 0.00103860485055819 0.0120726244310777 0.018604800379458 0.0044723568223624 0.00306439286234673 0.000838347165117118 0.000342193166745861 0.000973173727346442
"2" 0.000695770142754449 0.651064208510581 0.00014784507757172 1.04654210264892e-06 3.25794245565822e-07 0.213869152183365 0.110467214746987 0.00377974774045248 0.0092295088892199 0.000809221591109267 0.00044351779555459 0.00947739738687526 1.50435991813963e-05
"3" 0.000299341288048168 0.00636139060577021 0.146331964461676 0.00148014789723105 8.74406460019352e-06 0.0213839638116976 0.718868531965154 0.0611695754835209 0.000974954197109165 0.0174038405704163 0.000616799118131768 0.0247028496809814 0.000397896855663472
"4" 0.000329710455226927 0.00580100716764371 0.000758751484475058 0.0967067431519851 3.52450587147121e-05 0.0165286942396906 0.659560467523281 0.196604065495847 0.000954501417358263 0.00719987474970581 0.000546591970006412 0.0133549291903024 0.00161941809576329
"5" 0.00351207002844269 2.68336044499649e-05 5.73109647080643e-06 2.10300983080594e-08 0.637337864714957 3.93103373092864e-05 0.00201812530176224 0.248456415295905 5.86775881958782e-05 0.00451120099154831 4.34235448279503e-05 0.0011828844999438 0.102807441966088
"6" 0.000380454410340982 0.0937580407290242 0.000399214419809586 2.03653611490054e-06 5.3440182839487e-07 0.768217071842802 0.117712888240505 0.00523956551831894 0.00154054864734037 0.00104093006494171 0.000425587465846535 0.011258651376873 2.44763462543164e-05
"7" 0.000601126763665735 0.0123947981230264 0.00131333128015767 1.36576419927371e-05 7.43349008498013e-06 0.0348451995909052 0.861544688511777 0.0532161171234978 0.00196462284448083 0.00732606428469764 0.00112211821160746 0.0253128220575579 0.000338020076549107
"8" 0.000472289287006394 0.000246018274474298 4.08910287355231e-05 2.20127785400902e-07 0.000270728830420928 0.000419114651631183 0.0156153404806018 0.925947548337831 0.000392502376337196 0.0341038261910906 0.000347726687289577 0.0089736172815924 0.0131701764452039
"9" 0.00479681270745362 0.0261511540214287 4.83756022545019e-05 4.36720699222921e-07 4.09572594602433e-06 0.00571504830967558 0.0516474235252434 0.0297809261650545 0.86138378203476 0.00142410319456282 0.00403913687975423 0.0148208279388655 0.000187877174301798
"10" 0.000218430126207553 0.000226395270964891 1.68821673901966e-05 1.09799169668458e-07 2.47897381927536e-05 0.000620993587486526 0.0122472665097651 0.172457567326537 0.000145650435381676 0.780736873433891 0.00105337516674491 0.0310919364757637 0.00115972996250559
"11" 2.82841597592459e-05 0.00195271333592199 2.84206555159255e-05 2.32074590883857e-07 3.39242664525049e-06 0.00248585647578355 0.0271541505571675 0.0257487460969932 0.00522225206618736 0.0187006484459548 0.882739407753925 0.0357804889086944 0.000155407042861255
"12" 7.88129398987242e-05 0.00592917599232475 0.000260183887664772 1.60047374904432e-06 1.57093587657056e-05 0.0104265477226377 0.120493683644705 0.110251060164596 0.00187746322621115 0.0851813997876024 0.00770600780260156 0.656961805102643 0.000816549896601079
"13" 6.39748318316797e-05 2.07731211726952e-06 4.04845571902396e-07 1.43351209807176e-09 0.000392376626769935 2.64452183522329e-06 0.000141217951431179 0.0188483251373472 2.23543332602381e-05 0.000329252709314316 3.00537099821516e-06 8.36055269321208e-05 0.98011075939908
