"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13"
"1" 0.995720839950591 4.41150520557614e-05 0 0 0 8.82301041115229e-05 0.00127933650961708 0.00189694723839774 0.000485265572613376 0.00030880536439033 8.82301041115229e-05 0 8.82301041115229e-05
"2" 7.41867279943618e-05 0.956025816981342 0 0 0 0.0292852108757743 0.0124262769390556 0 0.0011684409659112 0 3.70933639971809e-05 0.000982974145925294 0
"3" 0 0 0.824701195219124 0.00099601593625498 0 0.00099601593625498 0.160358565737052 0.00697211155378486 0 0.00298804780876494 0 0.00298804780876494 0
"4" 0 0 0 0.791666666666667 0 0 0.166666666666667 0.0416666666666667 0 0 0 0 0
"5" 0.000427715996578272 0 0 0 0.955945252352438 0 0 0.0312232677502139 0 0 0 0 0.0124037639007699
"6" 3.52460172000564e-05 0.0128530476056206 7.04920344001128e-05 0 0 0.972038159687955 0.0134287325532215 0.000164481413600263 0.000105738051600169 1.17486724000188e-05 3.52460172000564e-05 0.00125710794680201 0
"7" 6.26210383495877e-05 0.00135678916424107 0.000292231512298076 2.3192977166514e-06 0 0.00402862013382348 0.984472301787019 0.00566140572634606 0.000211056092215277 0.000609975299479318 0.000111326290399267 0.00319135365811232 0
"8" 4.88709862352988e-05 1.4097399875567e-05 5.63895995022678e-06 0 3.38337597013607e-05 9.3982665837113e-06 0.00163999751885762 0.991883656978307 4.04125463099586e-05 0.00389840097892345 3.10142797262473e-05 0.00101971192433268 0.00137496640119696
"9" 0.00051932635952222 0.00333852659692856 0 0 0 0.000148378959863491 0.00556421099488093 0.00304176867720157 0.985162104013651 0 0.000445136879590474 0.0017805475183619 0
"10" 1.99460658379741e-05 3.98921316759482e-06 0 0 0 3.19137053407586e-05 0.00103320621040706 0.0197426159664268 7.97842633518965e-06 0.974967687373342 0.000103719542357465 0.0040849542836171 3.98921316759482e-06
"11" 0 0.000194024058983314 0 0 0 0.000194024058983314 0.0027163368257664 0.00232828870779977 0.000582072176949942 0.00194024058983314 0.987582460225068 0.00446255335661622 0
"12" 0 0.000686315628932017 3.81286460517787e-05 0 0 0.0010167638947141 0.0152641679693954 0.0123028431260406 0.000216062327626746 0.0112225314879069 0.000965925699978394 0.95827455167067 1.27095486839262e-05
"13" 6.06006738794935e-06 0 0 0 4.78071982827116e-05 0 0 0.00196413517451647 2.02002246264978e-06 1.34668164176652e-06 0 0 0.997978630855708
