"boot.i" "n.tree" "max.tree" "model.oob.auc" "model.oob.auc.pwd" "model.oob.acc" "model.oob.acc.pwd" "model.oob.adj.acc" "null.oob.ll" "model.oob.ll" "model.oob.mcr2" "model.oob.adj.acc.pwd" "null.oob.ll.pwd" "model.oob.ll.pwd" "model.oob.mcr2.pwd"
2 2650 1e+07 0.707768595041322 0.643636363636364 0.645454545454546 0.581818181818182 0.290909090909091 -76.246189861594 -70.9219955287886 0.0698289887333405 0.163636363636364 -76.246189861594 -78.2455829692027 -0.026222859283042
13 3100 1e+07 0.752936988252047 0.701193685021178 0.707547169811321 0.686274509803922 0.415094339622642 -73.4736011393542 -66.8980095051579 0.0894959758638302 0.346938775510204 -70.7010124171144 -70.223820995498 0.00674942840706683
7 4150 1e+07 0.671900826446281 0.642067736185383 0.636363636363636 0.60377358490566 0.272727272727273 -76.246189861594 -81.3365624258727 -0.066762320497838 0.176470588235294 -73.4736011393542 -81.57017867697 -0.110197096808409
4 5350 1e+07 0.717451523545706 0.645614035087719 0.692982456140351 0.616071428571429 0.385964912280702 -79.0187785838338 -83.8882199903497 -0.0616238506059645 0.218181818181818 -77.6324842227139 -90.0972795845921 -0.160561593341763
11 5850 1e+07 0.786555587474864 0.710508474576271 0.694915254237288 0.651376146788991 0.389830508474576 -81.7913673060735 -71.667782308811 0.123773270098039 0.24 -75.553042681034 -77.8422616954858 -0.0302994946757633
14 6400 1e+07 0.767835909631391 0.688401253918495 0.732758620689655 0.699115044247788 0.46551724137931 -80.4050729449537 -70.5752475200311 0.12225379649431 0.381818181818182 -78.3256314032738 -78.5093809332043 -0.00234596934156062
9 7150 1e+07 0.7552 0.673191489361702 0.71 0.65979381443299 0.42 -69.3147180559945 -65.909314288291 0.0491295912789044 0.297872340425532 -67.2352765143147 -75.1065296724264 -0.117070287595766
10 7400 1e+07 0.713719008264463 0.694214876033058 0.709090909090909 0.709090909090909 0.418181818181818 -76.246189861594 -80.6924919935287 -0.0583150730548749 0.418181818181818 -76.246189861594 -84.1725188903158 -0.103957050747193
21 3400 1e+07 0.775277777777778 0.724858757062147 0.7 0.65546218487395 0.4 -83.1776616671934 -69.71463011966 0.161858740407985 0.305084745762712 -82.4845144866335 -76.7105831381248 0.0700001859069479
5 7700 1e+07 0.661157024793388 0.573400673400673 0.636363636363636 0.605504587155963 0.272727272727273 -76.246189861594 -95.3288070434855 -0.250276337959068 0.203703703703704 -75.553042681034 -120.147990898388 -0.590246886622726
12 7950 1e+07 0.653061224489796 0.592633928571428 0.598214285714286 0.548076923076923 0.196428571428571 -77.6324842227139 -84.0239160149075 -0.0823293477748013 0.0208333333333333 -72.0873067782343 -85.9380298709283 -0.192138168447653
6 8600 1e+07 0.698224852071006 0.659054487179487 0.673076923076923 0.65 0.346153846153846 -72.0873067782343 -78.0604213721575 -0.0828594500318707 0.270833333333333 -69.3147180559945 -83.1858856612768 -0.200118647154804
16 6200 1e+07 0.728030099435636 0.639056658038539 0.672131147540984 0.584745762711864 0.344262295081967 -84.5639560283133 -84.4307248801876 0.00157550751387603 0.140350877192982 -81.7913673060735 -97.0082720670217 -0.186045364714404
8 9900 1e+07 0.748513674197384 0.750507099391481 0.689655172413793 0.724770642201835 0.379310344827586 -80.4050729449537 -77.0151478054104 0.0421605878258955 0.411764705882353 -75.553042681034 -70.9990703005229 0.0602751685294385
3 10700 1e+07 0.678061831153389 0.641123882503193 0.663793103448276 0.616071428571429 0.327586206896552 -80.4050729449537 -102.093684259673 -0.269741827478573 0.203703703703704 -77.6324842227139 -105.863955891596 -0.363655394407978
25 6750 1e+07 0.75653983353151 0.748902821316614 0.724137931034483 0.707964601769911 0.448275862068966 -80.4050729449537 -75.9558604460356 0.0553349724831922 0.4 -78.3256314032738 -74.1088731302774 0.053836249991854
18 7500 1e+07 0.678043536683687 0.697930663800054 0.672131147540984 0.688524590163934 0.344262295081967 -84.5639560283133 -94.7097276147957 -0.119977494703363 0.377049180327869 -84.5639560283133 -88.8279075737851 -0.0504228012233023
19 5650 1e+07 0.776854416743613 0.673872180451128 0.728070175438597 0.672566371681416 0.456140350877193 -79.0187785838338 -72.4916257750052 0.0826025525300123 0.339285714285714 -78.3256314032738 -91.6024606776367 -0.169508104007547
1 12650 1e+07 0.677978515625 0.623525943396226 0.640625 0.598290598290598 0.28125 -88.722839111673 -103.050882581931 -0.161492166095177 0.113207547169811 -81.0982201255136 -102.791322452591 -0.267491719220265
24 6550 1e+07 0.703762755102041 0.718112244897959 0.660714285714286 0.669642857142857 0.321428571428571 -77.6324842227139 -74.3759604103274 0.041947953166668 0.339285714285714 -77.6324842227139 -72.2832989275483 0.0689039562333172
20 6150 1e+07 0.778698979591837 0.71792328042328 0.705357142857143 0.672727272727273 0.410714285714286 -77.6324842227139 -65.4471313642725 0.156962036967461 0.333333333333333 -76.246189861594 -73.0297738739986 0.0421846126794536
15 4200 1e+07 0.7728 0.703673469387755 0.71 0.686868686868687 0.42 -69.3147180559945 -60.5710844318244 0.126143968689403 0.36734693877551 -68.6215708754346 -67.6714071663138 0.013846429001831
17 8350 1e+07 0.682520808561237 0.618412491867274 0.672413793103448 0.594594594594595 0.344827586206897 -80.4050729449537 -95.7304478737542 -0.190602089737454 0.150943396226415 -76.9393370421539 -102.671192289443 -0.334443423046273
22 9750 1e+07 0.758026159334126 0.727465214761041 0.732758620689655 0.71304347826087 0.46551724137931 -80.4050729449537 -77.1049241397204 0.0410440372026354 0.421052631578947 -79.7119257643937 -82.8236976396146 -0.0390377204587733
23 15550 1e+07 0.716441207075963 0.677712609970675 0.653225806451613 0.623931623931624 0.306451612903226 -85.9502503894332 -95.3498255501516 -0.109360648958319 0.2 -81.0982201255136 -93.7882675138714 -0.156477507998544
