"boot.i" "n.tree" "max.tree" "model.auc"
11 1800 1e+07 0.790123456790123
13 2250 1e+07 0.793367346938776
14 6200 1e+07 0.772959183673469
3 8550 1e+07 0.8125
7 9050 1e+07 0.736111111111111
8 9200 1e+07 0.865
2 10550 1e+07 0.798611111111111
9 11550 1e+07 0.795138888888889
16 1850 1e+07 0.888429752066116
10 12600 1e+07 0.834710743801653
22 4150 1e+07 0.859375
12 12950 1e+07 0.88
23 1400 1e+07 0.915
25 12550 1e+07 0.760330578512397
21 5950 1e+07 0.87
5 15150 1e+07 0.723140495867769
19 3650 1e+07 0.88
24 10850 1e+07 0.705
4 26900 1e+07 0.56
17 23250 1e+07 0.816326530612245
6 29800 1e+07 0.65625
1 41750 1e+07 0.710059171597633
18 21900 1e+07 0.830578512396694
20 20100 1e+07 0.748520710059172
15 11350 1e+07 0.58
