"Country.Name","X2018"
"Benin",61.47
"Burkina Faso",61.174
"Cote d`Ivoire",57.422
"Ghana",63.78
"Guinea",61.185
"Guinea-Bissau",58.003
"Liberia",63.73
"Mali",58.893
"Mauritania",64.704
"Niger",62.024
"Nigeria",54.332
"Senegal",67.665
"Sierra Leone",54.309
"Togo",60.76
