"Country"	"Year"	"Locality"	"Diagnosis"	"Reference"	"Full_Reference"	"DOI"	"bibtex"	"Latitude"	"Longitude"	"Genus"	"Species"
"Ivory Coast"	"2003-2005"	"Blodi"	"morpho + PCR cytb"	"Coulibaly-NGolo_Allali_2011"	"Coulibaly-N'Golo D, Allali B, Kouassi SK, Fichet-Calvet E, Becker-Ziaja B, Rieger T, Ölschläger S, Dosso H, Denys C, Ter Meulen J, Akoua-Koffi C. Novel arenavirus sequences in Hylomyscus sp. and Mus (Nannomys) setulosus from Côte d'Ivoire: implications for evolution of arenaviruses in Africa. PloS one. 2011 Jun 9;6(6):e20893."	"10.1371/journal.pone.0020893"	"coulibaly2011novel"	6.794166667	-7.295833333	"Mastomys"	"Mastomys natalensis"
"Ivory Coast"	"2003-2005"	"Gbagroube"	"morpho + PCR cytb"	"Coulibaly-NGolo_Allali_2011"	"Coulibaly-N'Golo D, Allali B, Kouassi SK, Fichet-Calvet E, Becker-Ziaja B, Rieger T, Ölschläger S, Dosso H, Denys C, Ter Meulen J, Akoua-Koffi C. Novel arenavirus sequences in Hylomyscus sp. and Mus (Nannomys) setulosus from Côte d'Ivoire: implications for evolution of arenaviruses in Africa. PloS one. 2011 Jun 9;6(6):e20893."	"10.1371/journal.pone.0020893"	"coulibaly2011novel"	5.809166667	-5.498055556	"Mastomys"	"Mastomys natalensis"
"Ivory Coast"	"2003-2005"	"Kotokossou"	"morpho + PCR cytb"	"Coulibaly-NGolo_Allali_2011"	"Coulibaly-N'Golo D, Allali B, Kouassi SK, Fichet-Calvet E, Becker-Ziaja B, Rieger T, Ölschläger S, Dosso H, Denys C, Ter Meulen J, Akoua-Koffi C. Novel arenavirus sequences in Hylomyscus sp. and Mus (Nannomys) setulosus from Côte d'Ivoire: implications for evolution of arenaviruses in Africa. PloS one. 2011 Jun 9;6(6):e20893."	"10.1371/journal.pone.0020893"	"coulibaly2011novel"	7.071111111	-3.128333333	"Mastomys"	"Mastomys natalensis"
"Ivory Coast"	"2003-2005"	"Menekre"	"morpho + PCR cytb"	"Coulibaly-NGolo_Allali_2011"	"Coulibaly-N'Golo D, Allali B, Kouassi SK, Fichet-Calvet E, Becker-Ziaja B, Rieger T, Ölschläger S, Dosso H, Denys C, Ter Meulen J, Akoua-Koffi C. Novel arenavirus sequences in Hylomyscus sp. and Mus (Nannomys) setulosus from Côte d'Ivoire: implications for evolution of arenaviruses in Africa. PloS one. 2011 Jun 9;6(6):e20893."	"10.1371/journal.pone.0020893"	"coulibaly2011novel"	6.184166667	-6.07	"Mastomys"	"Mastomys natalensis"
"Ivory Coast"	"2003-2005"	"Sanguiebo"	"morpho + PCR cytb"	"Coulibaly-NGolo_Allali_2011"	"Coulibaly-N'Golo D, Allali B, Kouassi SK, Fichet-Calvet E, Becker-Ziaja B, Rieger T, Ölschläger S, Dosso H, Denys C, Ter Meulen J, Akoua-Koffi C. Novel arenavirus sequences in Hylomyscus sp. and Mus (Nannomys) setulosus from Côte d'Ivoire: implications for evolution of arenaviruses in Africa. PloS one. 2011 Jun 9;6(6):e20893."	"10.1371/journal.pone.0020893"	"coulibaly2011novel"	8.171388889	-2.610277778	"Mastomys"	"Mastomys natalensis"
"Ivory Coast"	"2003-2005"	"Touzoukro"	"morpho + PCR cytb"	"Coulibaly-NGolo_Allali_2011"	"Coulibaly-N'Golo D, Allali B, Kouassi SK, Fichet-Calvet E, Becker-Ziaja B, Rieger T, Ölschläger S, Dosso H, Denys C, Ter Meulen J, Akoua-Koffi C. Novel arenavirus sequences in Hylomyscus sp. and Mus (Nannomys) setulosus from Côte d'Ivoire: implications for evolution of arenaviruses in Africa. PloS one. 2011 Jun 9;6(6):e20893."	"10.1371/journal.pone.0020893"	"coulibaly2011novel"	6.745833333	-3.368333333	"Mastomys"	"Mastomys natalensis"
"Niger"	1998	"Babangata"	"morpho + chrom"	"Dobigny et al. 2002"	"Dobigny G, Nomao A, Gautun JC. A cytotaxonomic survey of rodents from Niger: implications for systematics, biodiversity and biogeography. Mammalia. 2002 Jan 1;66(4):495-524."	"10.1515/mamm.2002.66.4.495"	"dobigny2002cytotaxonomic"	"12.91"	"2.40"	"Mastomys"	"Mastomys natalensis"
"Niger"	1998	"Batchintoulou"	"morpho + chrom"	"Dobigny et al. 2002"	"Dobigny G, Nomao A, Gautun JC. A cytotaxonomic survey of rodents from Niger: implications for systematics, biodiversity and biogeography. Mammalia. 2002 Jan 1;66(4):495-524."	"10.1515/mamm.2002.66.4.495"	"dobigny2002cytotaxonomic"	"14.37"	"3.38"	"Mastomys"	"Mastomys natalensis"
"Niger"	1998	"Niamey"	"morpho + chrom"	"Dobigny et al. 2002"	"Dobigny G, Nomao A, Gautun JC. A cytotaxonomic survey of rodents from Niger: implications for systematics, biodiversity and biogeography. Mammalia. 2002 Jan 1;66(4):495-524."	"10.1515/mamm.2002.66.4.495"	"dobigny2002cytotaxonomic"	"13.53"	"2.10"	"Mastomys"	"Mastomys natalensis"
"Niger"	1998	"Tara"	"morpho + chrom"	"Dobigny et al. 2002"	"Dobigny G, Nomao A, Gautun JC. A cytotaxonomic survey of rodents from Niger: implications for systematics, biodiversity and biogeography. Mammalia. 2002 Jan 1;66(4):495-524."	"10.1515/mamm.2002.66.4.495"	"dobigny2002cytotaxonomic"	"11.83"	"3.33"	"Mastomys"	"Mastomys natalensis"
"Niger"	1998	"Tokaye"	"morpho + chrom"	"Dobigny et al. 2002"	"Dobigny G, Nomao A, Gautun JC. A cytotaxonomic survey of rodents from Niger: implications for systematics, biodiversity and biogeography. Mammalia. 2002 Jan 1;66(4):495-524."	"10.1515/mamm.2002.66.4.495"	"dobigny2002cytotaxonomic"	"13.20"	"2.35"	"Mastomys"	"Mastomys natalensis"
"Niger"	1998	"Tondibia"	"morpho + chrom"	"Dobigny et al. 2002"	"Dobigny G, Nomao A, Gautun JC. A cytotaxonomic survey of rodents from Niger: implications for systematics, biodiversity and biogeography. Mammalia. 2002 Jan 1;66(4):495-524."	"10.1515/mamm.2002.66.4.495"	"dobigny2002cytotaxonomic"	"13.56"	"2.02"	"Mastomys"	"Mastomys natalensis"
