"Latitude","Longitude","Country","Species","Year","min.Year","max.Year","Presence","genbank","Genus","uID","Elev","Tmu","Pmu","Nmu","Pcv","Ncv","Pc","Pm","Nc","Nm","Pmin","Pmax","Nmin","Nmax","Pdur","Ndur","Pop","Water_Bodies","Evergreen_Broadleaf_Forest","Open_Shrubland","Woody_Savanna","Savannas","Grasslands","Permanent_Wetlands","Croplands","Urban_BuiltUp","Cropland_Natural_Mosaic","Barren"
12.5249995901377,-12.3249998851311,"Senegal","Mastomys natalensis",2001,2001,2001,1,FALSE,NA,NA,222.744750976562,34.0513305664062,3.55724000930786,0.482561141252518,1.38250231742859,0.413345068693161,0.506956815719604,0.296221911907196,0.218669772148132,0.383456170558929,0,13.7392024993896,0.257310450077057,0.757126092910767,6.21052646636963,6.31579494476318,42.4981956481934,0,0,0,0,2.02400883608789e-07,0.999999165534973,0,6.07203332947392e-07,0,0,0
12.8249995946019,-11.8749998784247,"Senegal","Mastomys natalensis",2001,2001,2001,1,FALSE,NA,NA,147.750259399414,33.5329322814941,2.93005204200745,0.485497295856476,1.37154114246368,0.417039573192596,0.526033222675323,0.291921675205231,0.235409617424011,0.354847222566605,0,11.4546566009521,0.267368465662003,0.767589628696442,6.4210524559021,6.21052265167236,16.1574420928955,0,0,0,0,0,0.925925374031067,0,0.0740746557712555,0,0,0
12.8249995946019,-12.0749998814054,"Senegal","Mastomys natalensis",2001,2001,2001,1,FALSE,NA,NA,136.749893188477,32.5050201416016,3.17883372306824,0.514495551586151,1.38640999794006,0.406006723642349,0.515551090240479,0.296694993972778,0.201314225792885,0.355878263711929,1.33062130771577e-05,12.6494398117065,0.264099955558777,0.784810364246368,6.36842107772827,5.78947591781616,3.22578954696655,0,0,0,0,0,1,0,4.74844772876959e-13,0,0,0
12.5749995908818,-12.2249998836408,"Senegal","Mastomys natalensis",2001,2001,2001,1,FALSE,NA,NA,175.501174926758,35.6301765441895,3.20236825942993,0.42130446434021,1.37387728691101,0.438882231712341,0.51690411567688,0.293932616710663,0.240096271038055,0.376566529273987,4.07115703637828e-06,12.3287124633789,0.23193721473217,0.700294971466064,6.4210524559021,7.4736762046814,113.761734008789,0,0,0,0,0,1,0,0,0,0,0
12.4749995893937,-11.9749998799151,"Senegal","Mastomys natalensis",2001,2001,2001,1,FALSE,NA,NA,242.501556396484,34.0364875793457,3.2800452709198,0.478052228689194,1.33891773223877,0.387555241584778,0.519343078136444,0.292228400707245,0.226723983883858,0.387960016727448,0,12.1491441726685,0.272410690784454,0.741373777389526,6.15789461135864,6.57894515991211,41.3211860656738,0,0,0,0,0,0.938271164894104,0,0.0617288425564766,0,0,0
12.5249995901377,-12.4249998866215,"Senegal","Mastomys natalensis",2001,2001,2001,1,FALSE,NA,NA,241.251770019531,33.0213775634766,3.82381272315979,0.514136612415314,1.38709199428558,0.37071305513382,0.49451407790184,0.300954878330231,0.218159958720207,0.380810588598251,0,14.8111419677734,0.289820998907089,0.768789410591125,6.15789461135864,6.05263376235962,19.7008953094482,0,0,0,0,3.03601666473696e-07,0.999999284744263,0,4.04802676712279e-07,0,0,0
12.6249995916258,-12.274999884386,"Senegal","Mastomys natalensis",2001,2001,2001,1,FALSE,NA,NA,150.249465942383,34.4556007385254,3.2927393913269,0.469585716724396,1.37511932849884,0.40693473815918,0.516070902347565,0.292333900928497,0.230734661221504,0.373172074556351,0,12.5965375900269,0.255936831235886,0.736599981784821,6.21052646636963,6.84210586547852,7.72631549835205,0,0,0,0,0,0.975308775901794,0,0.0246911998838186,0,0,0
13.0249995975781,-12.5749998888569,"Senegal","Mastomys natalensis",2001,2001,2001,1,FALSE,NA,NA,114.999786376953,32.5685768127441,2.84430646896362,0.491427659988403,1.43251061439514,0.464940428733826,0.523601412773132,0.293256372213364,0.186423435807228,0.332436770200729,0,12.1284971237183,0.228847444057465,0.787142097949982,6.4210524559021,6.15789365768433,3.59508776664734,0,0,0,0,0,1,0,0,0,0,0
12.6249995916258,-11.6749998754441,"Senegal","Mastomys natalensis",2001,2001,2001,1,FALSE,NA,NA,156.250015258789,33.2356872558594,3.04816436767578,0.510823667049408,1.33326458930969,0.398515641689301,0.53374856710434,0.282943785190582,0.233810856938362,0.357644617557526,0,11.0812644958496,0.283536791801453,0.780384182929993,6.31578969955444,6.00000238418579,3.26503562927246,0,0,0,0,0,0.950617611408234,0,0.0493823923170567,0,0,0
12.8249995946019,-12.274999884386,"Senegal","Mastomys natalensis",2001,2001,2001,1,FALSE,NA,NA,124.999420166016,33.2172889709473,3.15503406524658,0.499390155076981,1.39619302749634,0.390697747468948,0.516318082809448,0.288968443870544,0.221965581178665,0.376465737819672,3.47196100847214e-06,12.6018848419189,0.272068321704865,0.759226322174072,6.36842107772827,6.00000333786011,5.9573278427124,0,0,0,0,0,0.99999988079071,0,1.00098048960717e-07,0,0,0
10.07499955368,-12.5249998881118,"Guinea","Mastomys natalensis",2003,2002,2004,1,FALSE,NA,NA,193.001922607422,30.7123317718506,4.66958999633789,0.644604921340942,1.05821251869202,0.22486811876297,0.413442373275757,0.313154578208923,0.263635545969009,0.340499818325043,0.002090351190418,13.4902877807617,0.446726143360138,0.818226277828217,4.47368431091309,2.78947472572327,27.1945476531982,0,0,0,0,0.777778923511505,0,0,0,0,0.222221061587334,0
