"boot.i" "n.tree" "max.tree" "model.auc"
9 1900 1e+07 0.8203125
2 2150 1e+07 0.875
7 2300 1e+07 0.814814814814815
14 2500 1e+07 0.9375
23 3500 1e+07 0.921875
6 6450 1e+07 0.857142857142857
3 7850 1e+07 0.89
12 9050 1e+07 0.839506172839506
8 12700 1e+07 0.969387755102041
10 13750 1e+07 0.839506172839506
13 14150 1e+07 0.68
21 12000 1e+07 0.90625
4 14600 1e+07 0.740740740740741
1 18900 1e+07 0.814814814814815
16 18000 1e+07 0.901234567901235
18 5700 1e+07 1
5 19750 1e+07 0.90625
11 20050 1e+07 0.765625
17 14450 1e+07 0.805555555555556
22 10950 1e+07 0.714285714285714
19 5900 1e+07 1
24 20800 1e+07 0.653061224489796
15 20600 1e+07 0.917355371900826
20 31550 1e+07 0.753086419753087
25 33550 1e+07 0.851851851851852
