"boot.i" "n.tree" "max.tree" "model.auc"
14 1850 1e+07 0.965277777777778
4 1800 1e+07 0.765432098765432
7 3300 1e+07 0.917355371900826
18 1450 1e+07 0.9375
12 5000 1e+07 0.86
9 5800 1e+07 0.79
1 8050 1e+07 0.78
10 8500 1e+07 0.833333333333333
13 10350 1e+07 0.659722222222222
6 11250 1e+07 0.897959183673469
5 13350 1e+07 0.709876543209877
21 10750 1e+07 0.91358024691358
19 1500 1e+07 0.890625
23 11700 1e+07 0.83
2 17350 1e+07 0.83
8 19600 1e+07 0.925925925925926
20 11150 1e+07 0.909090909090909
3 20550 1e+07 0.87603305785124
11 20950 1e+07 0.679012345679012
24 18350 1e+07 0.897959183673469
22 8400 1e+07 0.918367346938776
17 10900 1e+07 0.861111111111111
25 10750 1e+07 0.864197530864198
15 25250 1e+07 0.805555555555556
16 23000 1e+07 0.95
